metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,1000,-,0.4945054945054945,0.8107990622520447,
SKS,1000,1000,500.0,0.4865134865134865,0.8159860074520111,
SWD,1000,1000,500.0,0.4695304695304695,25.788701057434082,
