metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,1000,-,0.007992007992007992,1.1028768420219421,
SKS,1000,1000,7000.0,0.47952047952047955,0.8169364035129547,
SWD,1000,1000,7000.0,0.46853146853146854,0.9987320303916931,
