metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,1000,-,0.5324675324675324,0.8422522715249207,
SKS,1000,1000,100.0,0.47152847152847155,0.8446746785005455,
SWD,1000,1000,100.0,0.4935064935064935,1.7441668204137382,
