metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
FGD,1000,1000,-,0.4835164835164835,70127335.316488,
MMD,1000,1000,-,0.5294705294705294,0.00013242301316351845,
KS,1000,1000,-,0.5144855144855145,0.8223761117249225,
SKS,1000,1000,100.0,0.4975024975024975,0.8257799040906724,
SWD,1000,1000,100.0,0.5544455544455544,684.4199408429183,
