metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
FGD,1000,5000,-,0.46653346653346656,227346475.32617414,
MMD,1000,5000,-,0.4875124875124875,4.322655312583024e-06,
KS,1000,5000,-,0.5004995004995005,0.8200000000000001,
