metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,10000,-,0.3076923076923077,0.9357379737701979,
SKS,1000,10000,100.0,0.43356643356643354,0.8681149952627244,
SWD,1000,10000,100.0,0.44655344655344653,1.8067146384081054,
