metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
FGD,1000,5000,-,0.45354645354645357,216485358.490596,
MMD,1000,5000,-,0.4645354645354645,-4.124610963329722e-06,
KS,1000,5000,-,0.4745254745254745,0.84,
