metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,10000,-,0.3856143856143856,0.9027396573148257,
SKS,1000,10000,100.0,0.46853146853146854,0.8466543044537127,
SWD,1000,10000,100.0,0.4945054945054945,3.390278010701417,
