metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,5000,-,0.4065934065934066,0.8535555555555555,
SKS,1000,5000,100.0,0.47652347652347654,0.8311999999999999,
SWD,1000,5000,100.0,0.4745254745254745,714.0120456642668,
