metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
FGD,1000,1000,-,0.4905094905094905,0.9034358181490785,
MMD,1000,1000,-,0.4955044955044955,8.331691647622819e-05,
KS,1000,1000,-,0.46053946053946054,0.8497058314499201,
SKS,1000,1000,100.0,0.4885114885114885,0.8219785885289228,
SWD,1000,1000,100.0,0.5054945054945055,1.7390092599110674,
