metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,1000,-,0.5214785214785215,0.808711251862424,
SKS,1000,1000,100.0,0.5074925074925075,0.8196307171525479,
SWD,1000,1000,100.0,0.4825174825174825,700.1186736243495,
