metric,niter,batch_size,nslices,p_value_num,t_obs,time_sec
KS,1000,5000,-,0.46253746253746253,0.8666666666666668,
SKS,1000,5000,100.0,0.5344655344655345,0.8215,
SWD,1000,5000,100.0,0.4865134865134865,3.4262635277698195,
